Variable,r,p_value,N,Significant
Pensieri generati da altri,0.196,0.4829,15,False
Parole lette da qualcun altro,-0.121,0.6664,15,False
Pensieri non propri,0.236,0.3977,15,False
Pensieri come scritti,0.032,0.9095,15,False
Pensieri ripetuti o echeggianti,0.118,0.6757,15,False
Perdita di contatto con se stessi,0.268,0.3344,15,False
Non essere più la stessa persona,0.164,0.5585,15,False
Vuoto interiore,-0.007,0.9798,15,False
Disconnessione da sé e dai propri pensieri,0.4,0.1396,15,False
Sensazione di non essere l'autore delle proprie azioni,0.568,0.0272,15,True
Dubbio tra dire e pensare,0.568,0.0272,15,True
Guardarsi dall'esterno,0.446,0.0953,15,False
Guardarsi da fuori dal corpo,0.25,0.3688,15,False
Perdita di controllo del corpo,0.689,0.0045,15,True
