Variable,r,p_value,N,Significant
Pensieri generati da altri,0.089,0.7441,16,False
Parole lette da qualcun altro,-0.263,0.3252,16,False
Pensieri non propri,0.064,0.8152,16,False
Pensieri come scritti,0.196,0.4659,16,False
Pensieri ripetuti o echeggianti,0.205,0.4456,16,False
Perdita di contatto con se stessi,0.032,0.9049,16,False
Non essere più la stessa persona,-0.353,0.1798,16,False
Vuoto interiore,-0.453,0.0777,16,False
Disconnessione da sé e dai propri pensieri,0.03,0.9135,16,False
Sensazione di non essere l'autore delle proprie azioni,0.182,0.5007,16,False
Dubbio tra dire e pensare,0.174,0.5185,16,False
Guardarsi dall'esterno,0.129,0.6353,16,False
Guardarsi da fuori dal corpo,-0.084,0.7565,16,False
Perdita di controllo del corpo,0.074,0.7858,16,False
