,mean,median,std,min,max
Cognitività e flusso della coscienza,0.13333586509095738,0.08247647058823529,0.13925586766132622,0.006223529411764706,0.9249
Consapevolezza del Sé e Presenza,0.17801232756458488,0.15509444444444442,0.11241587592607076,0.014299999999999995,0.6409166666666666
Esperienze corporee,0.30860674692751444,0.27845555555555557,0.19633479333136533,0.011688888888888865,0.8797555555555555
Demarcazione/Transitivismo,0.07957516930022572,0.042099999999999985,0.09415852067885597,0.00398,0.7253000000000001
Riorientamento Esistenziale,0.13755956546275394,0.10043749999999999,0.11447737426497503,0.0053875,0.6189374999999999
EASE_Mean_Score,0.17099552096946652,0.1363052631578947,0.12139771698665407,0.015215789473684196,0.7573421052631579
