Variable,r,p_value,N,Significant
Cognition,0.224,0.1699,39,False
Self-Awareness and Presence,0.148,0.3678,39,False
Consciousness,0.14,0.3948,39,False
Somatization,0.121,0.4626,39,False
Demarcation/Transitivism,0.07,0.6701,39,False
