Variable,r,p_value,N,Significant
Cognitività e flusso della coscienza,0.644,1.1700443789906566e-12,97,True
Consapevolezza del Sé e Presenza,0.538,1.2929083731199912e-08,97,True
Esperienze corporee,0.694,3.2184456066265587e-15,97,True
Demarcazione/Transitivismo,0.604,5.981227013978509e-11,97,True
Riorientamento Esistenziale,0.7,1.5587443494418738e-15,97,True
EASE_Mean_Score,0.704,8.197510432014653e-16,97,True
