Group,N_Patients_Total,N_Patients_With_Metaphors,N_Metaphors,Metaphors_per_Patient_mean,Metaphors_per_Patient_std,T0_POS_PANSS_mean,T0_POS_PANSS_std,T0_NEG_PANSS_mean,T0_NEG_PANSS_std,T0_DIS_PANSS_mean,T0_DIS_PANSS_std,T0_EXC_PANSS_mean,T0_EXC_PANSS_std,T0_EMO_PANSS_mean,T0_EMO_PANSS_std,T0_TOT_PANSS_mean,T0_TOT_PANSS_std
TOTALE,125,97,437,3.5,4.53,18.19,6.14,20.67,8.05,25.69,7.94,17.26,5.72,21.76,6.02,72.62,20.1
Delusion,54,53,299,5.54,5.29,18.46,7.42,18.56,9.48,23.08,8.09,18.73,6.7,21.58,6.87,68.13,24.7
Voices,71,44,138,1.94,3.09,17.97,4.92,22.39,6.23,27.78,7.22,16.05,4.46,21.91,5.29,76.53,14.07
