Variable,r,p_value,N,Significant
Cognition,0.181,0.0882,90,False
Self-Awareness and Presence,0.118,0.2677,90,False
Consciousness,0.19,0.0726,90,False
Somatization,0.106,0.3208,90,False
Demarcation/Transitivism,0.051,0.6351,90,False
