Group,N_Patients_Total,N_Patients_With_Metaphors,N_Metaphors,Metaphors_per_Patient,T0_POS_PANSS,T0_NEG_PANSS,T0_DIS_PANSS,T0_EXC_PANSS,T0_EMO_PANSS,T0_TOT_PANSS
TOTALE,125,97,437,3.50 (SD=4.53),18.21 (SD=6.34),19.96 (SD=8.59),24.78 (SD=7.54),17.78 (SD=5.97),21.61 (SD=6.43),70.94 (SD=21.25)
Delusion,54,53,299,5.54 (SD=5.29),18.69 (SD=7.31),18.57 (SD=9.57),23.29 (SD=8.02),18.94 (SD=6.60),21.69 (SD=6.89),68.51 (SD=24.78)
Voices,71,44,138,1.94 (SD=3.09),17.59 (SD=4.80),21.77 (SD=6.79),26.72 (SD=6.45),16.19 (SD=4.62),21.51 (SD=5.86),74.43 (SD=14.44)
